ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
19001,0,NA,NA,NA,NA,NA
19002,0,NA,NA,NA,NA,NA
19003,0,NA,NA,NA,NA,NA
19004,1,0,7,0,0,7
19005,0,NA,NA,NA,NA,NA
19006,1,10,12,43,0,0
19007,0,NA,NA,NA,NA,NA
19008,0,NA,NA,NA,NA,NA
19009,1,3,3,3,3,3
19010,0,NA,NA,NA,NA,NA
19011,0,NA,NA,NA,NA,NA
19012,0,NA,NA,NA,NA,NA
19013,0,NA,NA,NA,NA,NA
19014,0,NA,NA,NA,NA,NA
19015,0,NA,NA,NA,NA,NA
19016,3,NA,NA,NA,NA,NA
19017,0,NA,NA,NA,NA,NA
19018,1,0,9,0,0,0
19019,0,NA,NA,NA,NA,NA
19020,0,NA,NA,NA,NA,NA
