ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
11037,1,9,NSS,NSS,NSS,NSS,
11037,2,9,NSS,NSS,NSS,NSS,
11038,1,1,6,19,19,0,
11038,2,1,6,28,27,1,
11039,1,1,20,250,250,NSS,
11039,2,1,25,300,300,NSS,
11040,1,1,1,1,0,1,
11040,2,1,2,2,0,2,
11041,1,1,703,685,657,28,
11041,2,1,627,626,615,11,
11042,1,1,136,2407,2271,136,
11042,2,1,168,2380,2212,168,
11043,1,1,0,187,182,5,
11043,2,1,0,184,177,7,
11044,1,1,50,1110,1104,6,
11044,2,1,60,1080,1072,8,
