ubicageo_f,cantdeli_b,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins
1001,1,4549,NSS,NSS,4549,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4549,NSS,NSS,4549,
5005,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,9,,,,,,,,,,,,,,,,,,
5006,1,36,33,3,0,,35,32,3,0,1,1,0,0,0,0,0,0,
5006,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5006,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5006,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5006,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5006,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5006,9,,,,,,,,,,,,,,,,,,
5007,1,54,52,2,0,,52,50,2,0,2,2,0,0,0,0,0,0,
5007,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5007,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5007,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5007,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5007,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5007,9,,,,,,,,,,,,,,,,,,
5008,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5008,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5008,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5008,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
