ubicageo_f,aniorefe_b,rnsnni1,percontt,percon1,percon2,percon3,percon4,percon5,percon6,percon7,percon8,percon9,percon10,percon11,percon12,percon13,percon14,perconne
7015,2,1,12,3,0,0,7,0,0,0,0,0,0,0,0,0,2,
7016,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7016,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7017,1,1,24,8,1,0,9,0,0,0,0,0,0,0,0,6,0,
7017,2,1,71,20,0,0,31,0,0,0,0,0,0,0,0,20,0,
7018,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7018,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7019,1,1,38,17,1,0,0,0,0,0,0,0,0,0,0,0,20,
7019,2,1,55,40,1,0,2,0,0,0,0,0,0,0,0,0,12,
7020,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
7020,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
7021,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
7021,2,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,
7022,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7022,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7023,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
7023,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
7024,1,1,15,5,0,0,10,0,0,0,0,0,0,0,0,0,0,
7024,2,1,10,3,0,0,6,1,0,0,0,0,0,0,0,0,0,
7025,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7025,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7026,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7026,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7027,1,1,11,8,0,0,3,0,0,0,0,0,0,0,0,0,0,
7027,2,1,15,12,0,0,3,0,0,0,0,0,0,0,0,0,0,
7028,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7028,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7029,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7029,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7030,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7030,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7031,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
7031,2,1,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,
7032,1,1,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,
7032,2,1,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,
7033,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7033,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7034,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7034,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7035,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7035,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
7036,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7036,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7037,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7037,2,1,15,9,0,0,6,0,0,0,0,0,0,0,0,0,0,
7038,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7038,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7039,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7039,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
7040,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7040,2,1,135,94,0,28,13,0,0,0,0,0,0,0,0,0,0,
7041,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7041,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7042,1,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,
7042,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7043,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7043,2,1,9,7,0,0,2,0,0,0,0,0,0,0,0,0,0,
7044,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
7044,2,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,
7045,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7045,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7046,1,1,15,7,0,0,0,0,0,0,0,0,0,0,0,8,0,
7046,2,1,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,
7047,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7047,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7048,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7048,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7049,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7049,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7050,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7050,2,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7051,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7051,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7052,1,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,
7052,2,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
7053,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7053,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7054,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
7054,2,1,19,8,0,0,11,0,0,0,0,0,0,0,0,0,0,
7055,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
