ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
9011,1,0,NA,NA,NA,NA
9011,2,0,NA,NA,NA,NA
9012,1,0,NA,NA,NA,NA
9012,2,0,NA,NA,NA,NA
9013,1,0,NA,NA,NA,NA
9013,2,0,NA,NA,NA,NA
9014,1,0,NA,NA,NA,NA
9014,2,0,NA,NA,NA,NA
9015,1,0,NA,NA,NA,NA
9015,2,0,NA,NA,NA,NA
9016,1,0,NA,NA,NA,NA
9016,2,0,NA,NA,NA,NA
9017,1,0,NA,NA,NA,NA
9017,2,0,NA,NA,NA,NA
10001,1,2,NA,NA,NA,NA
10001,2,2,NA,NA,NA,NA
10002,1,2,NA,NA,NA,NA
10002,2,2,NA,NA,NA,NA
10003,1,2,NA,NA,NA,NA
10003,2,2,NA,NA,NA,NA
10004,1,2,NA,NA,NA,NA
10004,2,2,NA,NA,NA,NA
10005,1,9,NSS,NSS,NSS,NSS
10005,2,1,6500000,6500000,0,0
10006,1,2,NA,NA,NA,NA
10006,2,2,NA,NA,NA,NA
10007,1,9,NSS,NSS,NSS,NSS
10007,2,9,NSS,NSS,NSS,NSS
10008,1,2,NA,NA,NA,NA
10008,2,2,NA,NA,NA,NA
10009,1,2,NA,NA,NA,NA
10009,2,2,NA,NA,NA,NA
10010,1,2,NA,NA,NA,NA
10010,2,2,NA,NA,NA,NA
10011,1,2,NA,NA,NA,NA
10011,2,2,NA,NA,NA,NA
10012,1,1,37779521.25,37779521.25,0,0
10012,2,1,39801396.66,39801396.66,0,0
10013,1,2,NA,NA,NA,NA
10013,2,2,NA,NA,NA,NA
10014,1,9,NSS,NSS,NSS,NSS
10014,2,9,NSS,NSS,NSS,NSS
10015,1,9,NSS,NSS,NSS,NSS
10015,2,2,NA,NA,NA,NA
10016,1,9,NSS,NSS,NSS,NSS
10016,2,9,NSS,NSS,NSS,NSS
10017,1,2,NA,NA,NA,NA
10017,2,2,NA,NA,NA,NA
10018,1,2,NA,NA,NA,NA
10018,2,2,NA,NA,NA,NA
10019,1,2,NA,NA,NA,NA
10019,2,2,NA,NA,NA,NA
10020,1,2,NA,NA,NA,NA
10020,2,2,NA,NA,NA,NA
10021,1,2,NA,NA,NA,NA
10021,2,2,NA,NA,NA,NA
10022,1,2,NA,NA,NA,NA
10022,2,2,NA,NA,NA,NA
10023,1,9,NSS,NSS,NSS,NSS
10023,2,9,NSS,NSS,NSS,NSS
10024,1,2,NA,NA,NA,NA
10024,2,2,NA,NA,NA,NA
10025,1,2,NA,NA,NA,NA
10025,2,2,NA,NA,NA,NA
10026,1,2,NA,NA,NA,NA
10026,2,2,NA,NA,NA,NA
10027,1,9,NSS,NSS,NSS,NSS
10027,2,9,NSS,NSS,NSS,NSS
10028,1,2,NA,NA,NA,NA
10028,2,2,NA,NA,NA,NA
10029,1,9,NSS,NSS,NSS,NSS
10029,2,2,NA,NA,NA,NA
10030,1,2,NA,NA,NA,NA
10030,2,2,NA,NA,NA,NA
10031,1,9,NSS,NSS,NSS,NSS
10031,2,2,NA,NA,NA,NA
10032,1,9,NSS,NSS,NSS,NSS
10032,2,9,NSS,NSS,NSS,NSS
10033,1,2,NA,NA,NA,NA
10033,2,2,NA,NA,NA,NA
10034,1,2,NA,NA,NA,NA
10034,2,2,NA,NA,NA,NA
10035,1,2,NA,NA,NA,NA
10035,2,2,NA,NA,NA,NA
10036,1,2,NA,NA,NA,NA
10036,2,2,NA,NA,NA,NA
10037,1,2,NA,NA,NA,NA
10037,2,2,NA,NA,NA,NA
10038,1,9,NSS,NSS,NSS,NSS
10038,2,9,NSS,NSS,NSS,NSS
10039,1,2,NA,NA,NA,NA
10039,2,2,NA,NA,NA,NA
11001,1,2,NA,NA,NA,NA
11001,2,2,NA,NA,NA,NA
11002,1,2,NA,NA,NA,NA
11002,2,2,NA,NA,NA,NA
11003,1,2,NA,NA,NA,NA
11003,2,2,NA,NA,NA,NA
11004,1,2,NA,NA,NA,NA
11004,2,2,NA,NA,NA,NA
11005,1,9,NSS,NSS,NSS,NSS
11005,2,9,NSS,NSS,NSS,NSS
11006,1,2,NA,NA,NA,NA
11006,2,2,NA,NA,NA,NA
